comment_clean,comment_no_stopword,comment_stemmed,sentiment
you can simply clean out your waste tankin pad put on some gloves and run under water until it runs clean and let dry it takes a little while for them to dry as they absorb so much fluidink but no biggie you dont need them to be white you just need to get all of the ink out of them if your printer has a chip in the maintenance box you can simply download the wic tool to reset the chip use the code trial to use free for the first time and if you are at all tech savvy you will figure out how to use that trail for unlimited use you just need to compleltly uninstall the program and its registry entries on your pc i use a tool called revo uninstaller to do that with ease either way if your printer model allows you to have accesses to the foam inside of the maintience box you can clean it no problem and even if you pay for the wic tool or even if you simply spend the on a new maintience box every time your ink pad fills up you are spending only every months at the most and that is if you use your printer a lot the only time you will find yourself cleaning out or replacing the maintenance box often is when you do the deep clean option on your printer a few times and you will only need to do that if you let it sit and dont print on it for long periods of time if you print out a photo every couple of weeks you will never have to do that deep clean option and most people will never have to clean or replace their maintience box these printers are dirt cheap to own and use compared to the old cartirge printers the reason this guy says you cannot clean them is he sells them of course he is going to tell you that you cant clean them when he makes money every time you buy one,you can simply clean out your waste tankin pad put on some gloves and run under water until it runs clean and let dry it takes little while for them to dry as they absorb so much fluidink but no biggie you dont need them to be white you just need to get all of the ink out of them if your printer has chip in the maintenance box you can simply download the wic tool to reset the chip use the code trial to use free for the first time and if you are at all tech savvy you will figure out how to use that trail for unlimited use you just need to compleltly uninstall the program and its registry entries on your pc use tool called revo uninstaller to do that with ease either way if your printer model allows you to have accesses to the foam inside of the maintience box you can clean it no problem and even if you pay for the wic tool or even if you simply spend the on new maintience box every time your ink pad fills up you are spending only every months at the most and that is if you use your printer lot the only time you will find yourself cleaning out or replacing the maintenance box often is when you do the deep clean option on your printer few times and you will only need to do that if you let it sit and dont print on it for long periods of time if you print out photo every couple of weeks you will never have to do that deep clean option and most people will never have to clean or replace their maintience box these printers are dirt cheap to own and use compared to the old cartirge printers the reason this guy says you cannot clean them is he sells them of course he is going to tell you that you cant clean them when he makes money every time you buy one,you can simply clean out your waste tankin pad put on some gloves and run under water until it runs clean and let dry it takes little while for them to dry as they absorb so much fluidink but no biggie you dont need them to be white you just need to get all of the ink out of them if your printer has chip in the maintenance box you can simply download the wic tool to reset the chip use the code trial to use free for the first time and if you are at all tech savvy you will figure out how to use that trail for unlimited use you just need to compleltly uninstall the program and its registry entries on your pc use tool called revo uninstaller to do that with ease either way if your printer model allows you to have accesses to the foam inside of the maintience box you can clean it no problem and even if you pay for the wic tool or even if you simply spend the on new maintience box every time your ink pad fills up you are spending only every months at the most and that is if you use your printer lot the only time you will find yourself cleaning out or replacing the maintenance box often is when you do the deep clean option on your printer few times and you will only need to do that if you let it sit and dont print on it for long periods of time if you print out photo every couple of weeks you will never have to do that deep clean option and most people will never have to clean or replace their maintience box these printers are dirt cheap to own and use compared to the old cartirge printers the reason this guy says you cannot clean them is he sells them of course he is going to tell you that you cant clean them when he makes money every time you buy one,netral
hey im going to get rid of my et and go buy a good old hp,hey im going to get rid of my et and go buy good old hp,hey im going to get rid of my et and go buy good old hp,netral
i have a et says i have to reset ink pad settings how do i get that program i dont think ill ever buy epson again ill go back to hp,have et says have to reset ink pad settings how do get that program dont think ill ever buy epson again ill go back to hp,have et says have to reset ink pad settings how do get that program dont think ill ever buy epson again ill go back to hp,netral
i bought a l i cant make it work i called epson and spent a day on the phone trying to get it going and only have been able to use it connected to my computer,bought cant make it work called epson and spent day on the phone trying to get it going and only have been able to use it connected to my computer,bought cant make it work called epson and spent day on the phone trying to get it going and only have been able to use it connected to my computer,netral
the et was working the way it is supposed to for about years i thought it was the best printer i ever owned i have not been able to use my printer reliably for about days whenever it would miss lines i would do a print head cleaning and it would work for about days and then it began missing lines again i did another print head cleaning and it would work for about days then i did a power cleaning which got me involved with the maintenance box i never heard of the maintenance box nor did i know where it was when i finally found the box and opened it i was surprised to find the bottom of the printer sitting in ink and the desk top also covered with ink this must have happened because i did a power cleaning which caused the box to over flow my ink levels dropped about after the power cleaning i purchased two new maintenance boxes and replaced the overloaded one the printer never recognized the new box and there was no message to reset the ink levels until i replaced the box again i did additional head cleaning and everything seemed ok for days then then printer stopped printing epson gave me the name of a local repair center and the also allowed me to purchase a refurbished et with year warranty for for nd year i watched you video and would like to try your cleaning solution and advice on replacing the print head al bueller,the et was working the way it is supposed to for about years thought it was the best printer ever owned have not been able to use my printer reliably for about days whenever it would miss lines would do print head cleaning and it would work for about days and then it began missing lines again did another print head cleaning and it would work for about days then did power cleaning which got me involved with the maintenance box never heard of the maintenance box nor did know where it was when finally found the box and opened it was surprised to find the bottom of the printer sitting in ink and the desk top also covered with ink this must have happened because did power cleaning which caused the box to over flow my ink levels dropped about after the power cleaning purchased two new maintenance boxes and replaced the overloaded one the printer never recognized the new box and there was no message to reset the ink levels until replaced the box again did additional head cleaning and everything seemed ok for days then then printer stopped printing epson gave me the name of local repair center and the also allowed me to purchase refurbished et with year warranty for for nd year watched you video and would like to try your cleaning solution and advice on replacing the print head al bueller,the et was working the way it is supposed to for about years thought it was the best printer ever owned have not been able to use my printer reliably for about days whenever it would miss lines would do print head cleaning and it would work for about days and then it began missing lines again did another print head cleaning and it would work for about days then did power cleaning which got me involved with the maintenance box never heard of the maintenance box nor did know where it was when finally found the box and opened it was surprised to find the bottom of the printer sitting in ink and the desk top also covered with ink this must have happened because did power cleaning which caused the box to over flow my ink levels dropped about after the power cleaning purchased two new maintenance boxes and replaced the overloaded one the printer never recognized the new box and there was no message to reset the ink levels until replaced the box again did additional head cleaning and everything seemed ok for days then then printer stopped printing epson gave me the name of local repair center and the also allowed me to purchase refurbished et with year warranty for for nd year watched you video and would like to try your cleaning solution and advice on replacing the print head al bueller,positif
i have the et and ot has never printed vibrant or vivid colors everything is faded and muted is there specific settings that are required if so what are the optimal print settings for something like stickers on printable clear or white sticker paper,have the et and ot has never printed vibrant or vivid colors everything is faded and muted is there specific settings that are required if so what are the optimal print settings for something like stickers on printable clear or white sticker paper,have the et and ot has never printed vibrant or vivid colors everything is faded and muted is there specific settings that are required if so what are the optimal print settings for something like stickers on printable clear or white sticker paper,netral
i am looking for a replacement eco tank type of all in one i had a reliable but slow canon but then the error codes and expensive ink i was close to getting this epson and did not know about the maintenance tank a pop is is buying inject cartridges again i dont print that often but i dont want to go back to ink jet cartridges i dont print much photos but want a decent quality photo this channel and video is great can you assist,am looking for replacement eco tank type of all in one had reliable but slow canon but then the error codes and expensive ink was close to getting this epson and did not know about the maintenance tank pop is is buying inject cartridges again dont print that often but dont want to go back to ink jet cartridges dont print much photos but want decent quality photo this channel and video is great can you assist,am looking for replacement eco tank type of all in one had reliable but slow canon but then the error codes and expensive ink was close to getting this epson and did not know about the maintenance tank pop is is buying inject cartridges again dont print that often but dont want to go back to ink jet cartridges dont print much photos but want decent quality photo this channel and video is great can you assist,negatif
hi this printer can print label glossy label paper,hi this printer can print label glossy label paper,hi this printer can print label glossy label paper,netral
can you make a full setup video on hp deskjet e aio wireless printer pleasethe printer guy please,can you make full setup video on hp deskjet aio wireless printer pleasethe printer guy please,can you make full setup video on hp deskjet aio wireless printer pleasethe printer guy please,netral
can you make a video about how to clean the nozzles,can you make video about how to clean the nozzles,can you make video about how to clean the nozzles,netral
i am never ever buying another hp printer thats settled now i am torn between epson brother and cannon,am never ever buying another hp printer thats settled now am torn between epson brother and cannon,am never ever buying another hp printer thats settled now am torn between epson brother and cannon,netral
ive had two ets using them exclusively for sublimation printing the first one worked almost two years then the ink tanks cracked i took it for repair and was told itd be too expensive i bought another et and have only had it for six months it should be under under manufacturers warranty however epson said they using sublimation ink nullifies the warranty before calling epson i tried geek squad as im a member of their total maintenance program they were willing to schedule an appointment for a tech to come out however would charge me trip fee less discount and that would not cover hardware i do not want to go through this again and will not buy another et please let me know if there is a way to get replacement parts i believe one printer nozzle is blocked and the black tank is cracked i would not have known it was leaking but i had to pick it up to get the serial number off of the bottom when calling repair,ive had two ets using them exclusively for sublimation printing the first one worked almost two years then the ink tanks cracked took it for repair and was told itd be too expensive bought another et and have only had it for six months it should be under under manufacturers warranty however epson said they using sublimation ink nullifies the warranty before calling epson tried geek squad as im member of their total maintenance program they were willing to schedule an appointment for tech to come out however would charge me trip fee less discount and that would not cover hardware do not want to go through this again and will not buy another et please let me know if there is way to get replacement parts believe one printer nozzle is blocked and the black tank is cracked would not have known it was leaking but had to pick it up to get the serial number off of the bottom when calling repair,ive had two ets using them exclusively for sublimation printing the first one worked almost two years then the ink tanks cracked took it for repair and was told itd be too expensive bought another et and have only had it for six months it should be under under manufacturers warranty however epson said they using sublimation ink nullifies the warranty before calling epson tried geek squad as im member of their total maintenance program they were willing to schedule an appointment for tech to come out however would charge me trip fee less discount and that would not cover hardware do not want to go through this again and will not buy another et please let me know if there is way to get replacement parts believe one printer nozzle is blocked and the black tank is cracked would not have known it was leaking but had to pick it up to get the serial number off of the bottom when calling repair,netral
good video we purchased our et to get away from cartridges it worked fine out of the box but we had to make an out of town trip gone weeks and sure enough the yellow color would not print after a lot of effort we finally returned it to costco who offers a year money back guarantee and turned around and bought a new same model we now print a subliflower downloaded from the talented jennifermaker and print it once a week we save it and can run it through on the back side the next week to save paper we only use the printer every few days in our home office thanks for your intelligent review imho,good video we purchased our et to get away from cartridges it worked fine out of the box but we had to make an out of town trip gone weeks and sure enough the yellow color would not print after lot of effort we finally returned it to costco who offers year money back guarantee and turned around and bought new same model we now print subliflower downloaded from the talented jennifermaker and print it once week we save it and can run it through on the back side the next week to save paper we only use the printer every few days in our home office thanks for your intelligent review imho,good video we purchased our et to get away from cartridges it worked fine out of the box but we had to make an out of town trip gone weeks and sure enough the yellow color would not print after lot of effort we finally returned it to costco who offers year money back guarantee and turned around and bought new same model we now print subliflower downloaded from the talented jennifermaker and print it once week we save it and can run it through on the back side the next week to save paper we only use the printer every few days in our home office thanks for your intelligent review imho,netral
ive had my ecotank printer for years now and love it do not need to buy ink every month because of dried out cartridges ive refilled it maybe once or twice for the same cost as one set of cartridges i have zero bad things to say about it hp rips you off with their cartridge subscription plans total waste of money,ive had my ecotank printer for years now and love it do not need to buy ink every month because of dried out cartridges ive refilled it maybe once or twice for the same cost as one set of cartridges have zero bad things to say about it hp rips you off with their cartridge subscription plans total waste of money,ive had my ecotank printer for years now and love it do not need to buy ink every month because of dried out cartridges ive refilled it maybe once or twice for the same cost as one set of cartridges have zero bad things to say about it hp rips you off with their cartridge subscription plans total waste of money,netral
i have had my et for about a week now and am liking it so far for home use my concern from your video is the maintenance con because i really dont print that much since i am still in the return window is there another ink tank printer that i should consider i really didnt want the fax function but chose the over the for the touch screen,have had my et for about week now and am liking it so far for home use my concern from your video is the maintenance con because really dont print that much since am still in the return window is there another ink tank printer that should consider really didnt want the fax function but chose the over the for the touch screen,have had my et for about week now and am liking it so far for home use my concern from your video is the maintenance con because really dont print that much since am still in the return window is there another ink tank printer that should consider really didnt want the fax function but chose the over the for the touch screen,netral
ive had the et eco tank printer for just about a year now and i am truly impressed i print about to pages per day monfriday and have not seen any degradation or maintenance issues ive only had one paper jam in the entire year so far and it was fairly easy to fix im still running on the first bottles of ink other than black which i am now on my nd bottle,ive had the et eco tank printer for just about year now and am truly impressed print about to pages day monfriday and have not seen any degradation or maintenance issues ive only had one paper jam in the entire year so far and it was fairly easy to fix im still running on the first bottles of ink other than black which am now on my nd bottle,ive had the et eco tank printer for just about year now and am truly impressed print about to pages day monfriday and have not seen any degradation or maintenance issues ive only had one paper jam in the entire year so far and it was fairly easy to fix im still running on the first bottles of ink other than black which am now on my nd bottle,netral
y you should add as a con the fact that they have equipment printer with a postage stamp screen a magnifying glass with every printer printer,you should add as con the fact that they have equipment printer with postage stamp screen magnifying glass with every printer printer,you should add as con the fact that they have equipment printer with postage stamp screen magnifying glass with every printer printer,netral
nice video,nice video,nice video,netral
the moondrop lan was my first iem when i got to this hobby i bought it cuz how underrated the iem was and after years of buying several iem like ew and the truthear zero blue and many more i still have the lan as my daily rotation its just a nice natural sounding iem to my ears without having the high treble excitement,the moondrop lan was my first iem when got to this hobby bought it cuz how underrated the iem was and after years of buying several iem like ew and the truthear zero blue and many more still have the lan as my daily rotation its just nice natural sounding iem to my ears without having the high treble excitement,the moondrop lan was my first iem when got to this hobby bought it cuz how underrated the iem was and after years of buying several iem like ew and the truthear zero blue and many more still have the lan as my daily rotation its just nice natural sounding iem to my ears without having the high treble excitement,netral
que bonitos ojos tiene compadre,que bonitos ojos tiene compadre,que bonitos ojos tiene compadre,netral
please revisit all year old star iems and give your thoughts again,please revisit all year old star iems and give your thoughts again,please revisit all year old star iems and give your thoughts again,netral
the bathys are fantastic agree,the bathys are fantastic agree,the bathys are fantastic agree,netral
first absolutely epic idea for a video i might steal this in a few years second looking back i think i also underrated the moondrop kadenz part of that is due to my love for the kato but i also think that the pricing bothered me more than i admitted i think i just expected more from the kadenz and the price increasing while the perceived value stayed the same didnt make me a happy camper now looking at how much i reference it vs other single dds in that price range i think the kadenz is a worthy successor to my beloved kato,first absolutely epic idea for video might steal this in few years second looking back think also underrated the moondrop kadenz part of that is due to my love for the kato but also think that the pricing bothered me more than admitted think just expected more from the kadenz and the price increasing while the perceived value stayed the same didnt make me happy camper now looking at how much reference it vs other single dds in that price range think the kadenz is worthy successor to my beloved kato,first absolutely epic idea for video might steal this in few years second looking back think also underrated the moondrop kadenz part of that is due to my love for the kato but also think that the pricing bothered me more than admitted think just expected more from the kadenz and the price increasing while the perceived value stayed the same didnt make me happy camper now looking at how much reference it vs other single dds in that price range think the kadenz is worthy successor to my beloved kato,netral
i dont always agree with you but you are consistent in how you evaluate iems knowing where we differ allows me to utilize the solid info you present i find that some reviewers are all over the map and it makes their reviews impossible to interpret,dont always agree with you but you are consistent in how you evaluate iems knowing where we differ allows me to utilize the solid info you present find that some reviewers are all over the map and it makes their reviews impossible to interpret,dont always agree with you but you are consistent in how you evaluate iems knowing where we differ allows me to utilize the solid info you present find that some reviewers are all over the map and it makes their reviews impossible to interpret,netral
truthear zero red bought it didnt make an impression on me put it away and bought hexa which was love at first sight today ive been using red almost all the time even when i dont need to use it,truthear zero red bought it didnt make an impression on me put it away and bought hexa which was love at first sight today ive been using red almost all the time even when dont need to use it,truthear zero red bought it didnt make an impression on me put it away and bought hexa which was love at first sight today ive been using red almost all the time even when dont need to use it,netral
for me its the kiwiears cadenza wasnt too impressed at first but these little things cured my iem buying addiction theyre perfect for all day listening at low volume they are non fatiguing but have enough detail to not sound cheap that moderate bass boost sounds just right at low volume and theyre light with smooth shells and small nozzles so they never get uncomfortable,for me its the kiwiears cadenza wasnt too impressed at first but these little things cured my iem buying addiction theyre perfect for all day listening at low volume they are non fatiguing but have enough detail to not sound cheap that moderate bass boost sounds just right at low volume and theyre light with smooth shells and small nozzles so they never get uncomfortable,for me its the kiwiears cadenza wasnt too impressed at first but these little things cured my iem buying addiction theyre perfect for all day listening at low volume they are non fatiguing but have enough detail to not sound cheap that moderate bass boost sounds just right at low volume and theyre light with smooth shells and small nozzles so they never get uncomfortable,netral
bathys has a hz peak and khz dip,bathys has hz peak and khz dip,bathys has hz peak and khz dip,netral
kphi is one of my favorites,kphi is one of my favorites,kphi is one of my favorites,netral
this hits so hard as someone whos worked in audio manufacturing for years i totally get the underrated vs overrated struggle so many products shine in shortterm reviews but fall apart after months of daily use while some budget gems only reveal their strengths over time its refreshing to see a reviewer focus on longterm realworld performance over just initial impressions and specs loved the deep dive on these moondrop iems and the other picks your take on what makes a product actually keep its value is spoton,this hits so hard as someone whos worked in audio manufacturing for years totally get the underrated vs overrated struggle so many products shine in shortterm reviews but fall apart after months of daily use while some budget gems only reveal their strengths over time its refreshing to see reviewer focus on longterm realworld performance over just initial impressions and specs loved the deep dive on these moondrop iems and the other picks your take on what makes product actually keep its value is spoton,this hits so hard as someone whos worked in audio manufacturing for years totally get the underrated vs overrated struggle so many products shine in shortterm reviews but fall apart after months of daily use while some budget gems only reveal their strengths over time its refreshing to see reviewer focus on longterm realworld performance over just initial impressions and specs loved the deep dive on these moondrop iems and the other picks your take on what makes product actually keep its value is spoton,netral
really enjoyed this one mark longterm listening always reveals things that firstimpression reviews cant and i think this video highlights that perfectly ive found the same thing in my own reviewing some gear doesnt wow you on day one but it quietly earns its place because you keep reaching for it months or years later that stands the test of time factor ends up being more meaningful than any spec sheet or hype cycle cool to see which products stuck with you its a good reminder that enjoyment and longevity matter just as much as technical performance,really enjoyed this one mark longterm listening always reveals things that firstimpression reviews cant and think this video highlights that perfectly ive found the same thing in my own reviewing some gear doesnt wow you on day one but it quietly earns its place because you keep reaching for it months or years later that stands the test of time factor ends up being more meaningful than any spec sheet or hype cycle cool to see which products stuck with you its good reminder that enjoyment and longevity matter just as much as technical performance,really enjoyed this one mark longterm listening always reveals things that firstimpression reviews cant and think this video highlights that perfectly ive found the same thing in my own reviewing some gear doesnt wow you on day one but it quietly earns its place because you keep reaching for it months or years later that stands the test of time factor ends up being more meaningful than any spec sheet or hype cycle cool to see which products stuck with you its good reminder that enjoyment and longevity matter just as much as technical performance,positif
great content but it actually bothers me off that as an audiophile discerning consumer of music you still use ai music isnt that absurd,great content but it actually bothers me off that as an audiophile discerning consumer of music you still use ai music isnt that absurd,great content but it actually bothers me off that as an audiophile discerning consumer of music you still use ai music isnt that absurd,netral
no bass no life,no bass no life,no bass no life,netral
not only the stock tuning is good the soundstage opens up with a balanced amp ifi zen bass boost transforms them into quite energetic set so you kinda get in if you have it abiagil pro pairs well too and bumps the bass a bit overall lan is absurdly good for the price,not only the stock tuning is good the soundstage opens up with balanced amp ifi zen bass boost transforms them into quite energetic set so you kinda get in if you have it abiagil pro pairs well too and bumps the bass bit overall lan is absurdly good for the price,not only the stock tuning is good the soundstage opens up with balanced amp ifi zen bass boost transforms them into quite energetic set so you kinda get in if you have it abiagil pro pairs well too and bumps the bass bit overall lan is absurdly good for the price,netral
ksc is my daily headphone for gaming i was previously using some anker soundcore pi buds that i sidelined after upgrading to pis for work and it is a marked improvement i used to use some grado srs but i gave them away years ago and had forgotten how nice open back anything is for gaming i will still use iems or a closed back headphone for rhythm games but everything else is perfect with the kscs its like not even wearing headphones and having decent well balanced bookshelf speakers set at exactly the right angle keen on trying the kphi and kph for mixing casual music listening and gaming from your reviews and others,ksc is my daily headphone for gaming was previously using some anker soundcore pi buds that sidelined after upgrading to pis for work and it is marked improvement used to use some grado srs but gave them away years ago and had forgotten how nice open back anything is for gaming will still use iems or closed back headphone for rhythm games but everything else is perfect with the kscs its like not even wearing headphones and having decent well balanced bookshelf speakers set at exactly the right angle keen on trying the kphi and kph for mixing casual music listening and gaming from your reviews and others,ksc is my daily headphone for gaming was previously using some anker soundcore pi buds that sidelined after upgrading to pis for work and it is marked improvement used to use some grado srs but gave them away years ago and had forgotten how nice open back anything is for gaming will still use iems or closed back headphone for rhythm games but everything else is perfect with the kscs its like not even wearing headphones and having decent well balanced bookshelf speakers set at exactly the right angle keen on trying the kphi and kph for mixing casual music listening and gaming from your reviews and others,netral
what would you suggest between moondrop old fashioned and the koss kphi i am setting a cassette player vintagey like light headphone combo and between other koss products this one fits more the image i had in mind,what would you suggest between moondrop old fashioned and the koss kphi am setting cassette player vintagey like light headphone combo and between other koss products this one fits more the image had in mind,what would you suggest between moondrop old fashioned and the koss kphi am setting cassette player vintagey like light headphone combo and between other koss products this one fits more the image had in mind,netral
i picked up a used pair of bathys a few years ago and theyve earned the carry spot in my backpack one thing i think gets overlooked is dac mode it makes the bathys feel like they can hang with or even beat some of the wired headphones that always show up on everyones recommended lists,picked up used pair of bathys few years ago and theyve earned the carry spot in my backpack one thing think gets overlooked is dac mode it makes the bathys feel like they can hang with or even beat some of the wired headphones that always show up on everyones recommended lists,picked up used pair of bathys few years ago and theyve earned the carry spot in my backpack one thing think gets overlooked is dac mode it makes the bathys feel like they can hang with or even beat some of the wired headphones that always show up on everyones recommended lists,positif
this reeeview iss suupeerrr uh uh uh huuhhuh uuh uhh,this reeeview iss suupeerrr uh uh uh huuhhuh uuh uhh,this reeeview iss suupeerrr uh uh uh huuhhuh uuh uhh,netral
kadenz that is all,kadenz that is all,kadenz that is all,netral
ha i coincidentally was listening to both the meteor and bathys earlier today at work heres my pick emu rosewood sibling to the teaks the bass is still in line with the best ive ever heard gotta love the biodynas,ha coincidentally was listening to both the meteor and bathys earlier today at work heres my pick emu rosewood sibling to the teaks the bass is still in line with the best ive ever heard gotta love the biodynas,ha coincidentally was listening to both the meteor and bathys earlier today at work heres my pick emu rosewood sibling to the teaks the bass is still in line with the best ive ever heard gotta love the biodynas,positif
btw moondrop lan are now officially discontinued by moondrop but shenzhenaudio still has some last units for sale and i just bought it some days ago awaiting delivery and if you guys want to get it do it as soon as possible because you might not be able to buy this earphone in a near future,btw moondrop lan are now officially discontinued by moondrop but shenzhenaudio still has some last units for sale and just bought it some days ago awaiting delivery and if you guys want to get it do it as soon as possible because you might not be able to buy this earphone in near future,btw moondrop lan are now officially discontinued by moondrop but shenzhenaudio still has some last units for sale and just bought it some days ago awaiting delivery and if you guys want to get it do it as soon as possible because you might not be able to buy this earphone in near future,netral
lets wait for the meteor in some years ahead,lets wait for the meteor in some years ahead,lets wait for the meteor in some years ahead,netral
what i really underestimated back in the day wasnt a specific productit was the power of eq once i dove deeper into the topic acquired a measuring rig took my own measurements and finetuned everything to my exact personal preference it hit me it is completely irrelevant how expensive an iem is or what crazy driver configuration it uses properly eqd a good single dd can sound leagues better to my ears than my most expensive flagship gear which is honestly wild to think about of course the learning curve is real it takes time to truly understand how eq works and managing it across multiple devices can be somewhat tedious but trust me the effort pays off massively for me the ultimate gamechanger was getting the qudelix t it stores all my eq profiles internally meaning i have my perfect sound with me no matter where i listen or what device i use problem solved,what really underestimated back in the day wasnt specific productit was the power of eq once dove deeper into the topic acquired measuring rig took my own measurements and finetuned everything to my exact personal preference it hit me it is completely irrelevant how expensive an iem is or what crazy driver configuration it uses properly eqd good single dd can sound leagues better to my ears than my most expensive flagship gear which is honestly wild to think about of course the learning curve is real it takes time to truly understand how eq works and managing it across multiple devices can be somewhat tedious but trust me the effort pays off massively for me the ultimate gamechanger was getting the qudelix it stores all my eq profiles internally meaning have my perfect sound with me no matter where listen or what device use problem solved,what really underestimated back in the day wasnt specific productit was the power of eq once dove deeper into the topic acquired measuring rig took my own measurements and finetuned everything to my exact personal preference it hit me it is completely irrelevant how expensive an iem is or what crazy driver configuration it uses properly eqd good single dd can sound leagues better to my ears than my most expensive flagship gear which is honestly wild to think about of course the learning curve is real it takes time to truly understand how eq works and managing it across multiple devices can be somewhat tedious but trust me the effort pays off massively for me the ultimate gamechanger was getting the qudelix it stores all my eq profiles internally meaning have my perfect sound with me no matter where listen or what device use problem solved,netral
was the ie overrated given its reputation in various reviews for a hot treble the reason this earphone is controversial seems to be the damping used in the much maligned stock tips the use of thirdparty tips lacking damping filters means theres no attenuation of the treble frequencies,was the ie overrated given its reputation in various reviews for hot treble the reason this earphone is controversial seems to be the damping used in the much maligned stock tips the use of thirdparty tips lacking damping filters means theres no attenuation of the treble frequencies,was the ie overrated given its reputation in various reviews for hot treble the reason this earphone is controversial seems to be the damping used in the much maligned stock tips the use of thirdparty tips lacking damping filters means theres no attenuation of the treble frequencies,netral
you should try tangzu wukong king hardest hitting bass ever in iem and maybe headphones it uses diamond driver,you should try tangzu wukong king hardest hitting bass ever in iem and maybe headphones it uses diamond driver,you should try tangzu wukong king hardest hitting bass ever in iem and maybe headphones it uses diamond driver,netral
im also still a big fan of the us and meteor and the kphi though i prefer the clear variant that removes a bit of the tuning foam from the back im glad to see you slowly start giving in to the basshead darkside on may the th,im also still big fan of the us and meteor and the kphi though prefer the clear variant that removes bit of the tuning foam from the back im glad to see you slowly start giving in to the basshead darkside on may the th,im also still big fan of the us and meteor and the kphi though prefer the clear variant that removes bit of the tuning foam from the back im glad to see you slowly start giving in to the basshead darkside on may the th,netral
i was actually thinking to buy myself moondrop lan and hiby r snowsky exhojust cos it magnificent design but i think i will buy it latter once i arrange my music library for fav stuff for this small dude cos i just love its design its so cute and neat,was actually thinking to buy myself moondrop lan and hiby snowsky exhojust cos it magnificent design but think will buy it latter once arrange my music library for fav stuff for this small dude cos just love its design its so cute and neat,was actually thinking to buy myself moondrop lan and hiby snowsky exhojust cos it magnificent design but think will buy it latter once arrange my music library for fav stuff for this small dude cos just love its design its so cute and neat,netral
what cable do you have on the meteor looks nice,what cable do you have on the meteor looks nice,what cable do you have on the meteor looks nice,netral
totally agree on the koss kphi even after all these years they remain one of the most surprising and enjoyable headphones in my collection great list,totally agree on the koss kphi even after all these years they remain one of the most surprising and enjoyable headphones in my collection great list,totally agree on the koss kphi even after all these years they remain one of the most surprising and enjoyable headphones in my collection great list,netral
hey mark thank you for videos they are all super helpful quick one dunu dkbd do you still listen to it now then i was thinking about getting one have a great day,hey mark thank you for videos they are all super helpful quick one dunu dkbd do you still listen to it now then was thinking about getting one have great day,hey mark thank you for videos they are all super helpful quick one dunu dkbd do you still listen to it now then was thinking about getting one have great day,netral
great subject audio volur was on my list to buy for bass head set but nice to hear symphonium meteor is great valuenot many reviewers disclose their most used iems may be good to make another video for daily drivers,great subject audio volur was on my list to buy for bass head set but nice to hear symphonium meteor is great valuenot many reviewers disclose their most used iems may be good to make another video for daily drivers,great subject audio volur was on my list to buy for bass head set but nice to hear symphonium meteor is great valuenot many reviewers disclose their most used iems may be good to make another video for daily drivers,netral
i own a performer but tried kadenze and i melted so smooth better bass not more technical than p but more musical you put them in and forget,own performer but tried kadenze and melted so smooth better bass not more technical than but more musical you put them in and forget,own performer but tried kadenze and melted so smooth better bass not more technical than but more musical you put them in and forget,netral
i liked the ie at the time but didnt care that much later i realized that it simply is so much better than other iems for fit and comfort the tuning is also basically perfect luckily the small foam tips fit me well and replacement cable costs like if the resolutiondetail was better it would make me not even consider anytihng else,liked the ie at the time but didnt care that much later realized that it simply is so much better than other iems for fit and comfort the tuning is also basically perfect luckily the small foam tips fit me well and replacement cable costs like if the resolutiondetail was better it would make me not even consider anytihng else,liked the ie at the time but didnt care that much later realized that it simply is so much better than other iems for fit and comfort the tuning is also basically perfect luckily the small foam tips fit me well and replacement cable costs like if the resolutiondetail was better it would make me not even consider anytihng else,netral
a reminder that there are treasures to be found among the old releases as much as or more than among the new,reminder that there are treasures to be found among the old releases as much as or more than among the new,reminder that there are treasures to be found among the old releases as much as or more than among the new,netral
man just takes every opportunity to glaze the lan and im here for it i love this set,man just takes every opportunity to glaze the lan and im here for it love this set,man just takes every opportunity to glaze the lan and im here for it love this set,netral
